Timestamp,Box_Name,Total_Points,Clear_Points,Through_Smoke_Points,Status
1777598540.460317,Box_1_Outside,3,3,0,Clear
1777598540.460317,Box_2_In_Smoke,8,0,8,Visible Through Smoke
1777598540.460317,Box_3_Behind_Box_2,1,0,1,Visible Through Smoke
1777598540.4617822,Box_1_Outside,3,3,0,Clear
1777598540.4617822,Box_2_In_Smoke,8,0,8,Visible Through Smoke
1777598540.4617822,Box_3_Behind_Box_2,1,0,1,Visible Through Smoke
1777598540.463002,Box_1_Outside,3,3,0,Clear
1777598540.463002,Box_2_In_Smoke,4,0,4,Visible Through Smoke
1777598540.463002,Box_3_Behind_Box_2,0,0,0,Not Detected
1777598540.4639158,Box_1_Outside,3,3,0,Clear
1777598540.4639158,Box_2_In_Smoke,4,0,4,Visible Through Smoke
1777598540.4639158,Box_3_Behind_Box_2,0,0,0,Not Detected
1777598540.4646847,Box_1_Outside,3,3,0,Clear
1777598540.4646847,Box_2_In_Smoke,8,0,8,Visible Through Smoke
1777598540.4646847,Box_3_Behind_Box_2,0,0,0,Not Detected
1777598540.4653633,Box_1_Outside,3,3,0,Clear
1777598540.4653633,Box_2_In_Smoke,8,0,8,Visible Through Smoke
1777598540.4653633,Box_3_Behind_Box_2,0,0,0,Not Detected
1777598540.4660423,Box_1_Outside,3,3,0,Clear
1777598540.4660423,Box_2_In_Smoke,3,0,3,Visible Through Smoke
1777598540.4660423,Box_3_Behind_Box_2,0,0,0,Not Detected
1777598540.4668152,Box_1_Outside,3,3,0,Clear
1777598540.4668152,Box_2_In_Smoke,3,0,3,Visible Through Smoke
1777598540.4668152,Box_3_Behind_Box_2,0,0,0,Not Detected
1777598540.4674814,Box_1_Outside,3,3,0,Clear
1777598540.4674814,Box_2_In_Smoke,8,0,8,Visible Through Smoke
1777598540.4674814,Box_3_Behind_Box_2,1,0,1,Visible Through Smoke
1777598540.4681776,Box_1_Outside,3,3,0,Clear
1777598540.4681776,Box_2_In_Smoke,8,0,8,Visible Through Smoke
